utt_id,ground_truth,prediction,detected_language,wer
834022_lHGLSlYIb1clRBRF_0000,लिबर ऑफिस impress में presentation notes पर spoken tutorial में आपका स्वागत है,लिबर अफिस इंप्रस में प्रदेंटेशन नोड़़ पर वोखिल तिटरल में आपका स्वागत है.,hi,0.5384615384615384
137494_fpL6MBSZsci9dyAn_0099,यदि आपका प्रिंटर सही कंफिगर है तो मेल अब प्रिंट करना शुरू करना चाहिए,"यह आपका पिंटर सहीं कनछीगर है, तो मेल आप प्रिंट करना शुरू करना चाहीए. पिंट डलोग बोखसे बाहर,",hi,0.7857142857142857
103725_UO5ZLDtkc8QMi9Hk_0025,type करें: dot slash args enter दबाएं,Type curry dot slash r's enter the by,en,0.7142857142857143
957491_4xyIm2P6Xzlin341_0070,मेल अकाऊंट सेटअप डायलॉग बॉक्स प्रदर्शित होता है,मेल अकाँँच्टब डालोग बोग्श परज़िथ होता है,hi,0.625
388577_LPGZ2Jo8uBX4sx76_0005,इस tutorial का अनुसरण करने के लिए आपको किसी भी operating system पर कार्य करने का ज्ञान होना चाहिए,अपको किसी भी अपरेटिंग सिस्चम ख़गारे करने का जान जाहिं,hi,0.7894736842105263
347099_K5BlLYB9ynemLTVa_0017,color में gray scale चुनते हैं,उसे प्रेंट करेगा कलर में ग्रेज्केल चुनते हैं,hi,1.0
323507_HgEJsLGKNWSFl8T7_0045,यहाँ इन options के लिए shortcut कीज भी हैंcopy करने के लिए ctrl + c और paste करने के लिए ctrl + v,"यहाँ इन अप्शन्स के लिए, शोट कट कीज भी है, गोपी करने के लिए, कन्त्रोल ची, और पेस्त करने के लिए, कन्त्रोल वी, यह विशिच्ता बहुत उप्टीट चीजना और विशिष्ता बहुत अप्चाँ,",hi,1.0
146881_TkzR0GrQyK0vSTuj_0050,आप देखेंगे कि टेक्स्ट सामान्य हो गया है जिस बदलाव को समीक्षक ने सुझाया है,,hi,1.0
957491_4xyIm2P6Xzlin341_0049,सबसे पहले जीमेल अकाऊंट में लॉगिन करें,अदिए पहले जीमेल अकाुँट में लोगन करे,hi,0.5714285714285714
137494_fpL6MBSZsci9dyAn_0062,thread व्यू से बाहर आने के लिए केवल thread आइकन पर फिर से क्लिक करें,त्रट्व्यु से बहार आने के लिए केवल त्रट्व्याँगन पर फिर्ष्टे ख्लिक करें,hi,0.5333333333333333
847066_Bmcrju1ByfdrXE9P_0061,tasks pane से slide transitions पर click करें,,hi,1.0
957491_4xyIm2P6Xzlin341_0066,कनेक्शन सेटिंग्स डायलॉग बॉक्स में use system proxy settings आप्शन चुनें,Connection Settings dialog box may use System Proxy Settings option to name it.,en,1.0909090909090908
628028_K8YJLqIcMPJ5GftE_0126,और move down बटन्स का इस्तेमाल करेंगे,"अदिए बालम से मिलाने के लिए, मुव अप और मुव डावन बटन्स का अईस्तिमाल करेंगे.",hi,1.7142857142857142
133511_swLUjPHatcTk0wf8_0080,आई आई टी बॉम्बे की तरफ मैं सकीना अब आप से विदा लेती हूँ इस ट्यूटोरियल में शामिल होने के लिए धन्यवाद,अप्ती बोमबे की तरव से मैं सकीना शेक आप से विदालेती हूं इस टिटोर्यल में शामल हों निकेले खण्निवाथ,hi,0.7272727272727273
656852_dNHXkqqVPqWYhzis_0010,मेरे system में gedit text editor पहले से ही संस्थापित है,मेरे सिस्तम में जी अटिट टेक्स अटीटर पहले से ही सुँपित है अब जी अटिट,hi,0.8181818181818182
