audio,ground_truth,prediction,detected_language,wer
SPEAKER_005_YOUTUBEREVIEWS_0885.WAV,خالی رومینس بھی نہیں ہے اتنا لینیئر بھی نہیں ہے پراجیکٹ زیادہ اس لیے نہیں بول رہی کہ ابھی صرف میں نے پڑھا ہے ابھی اس کو پوری طرح,ہالی رومانس بھی نہیں ہے اتنا اینیر بھی نہیں ہے رووجک زادہ اسی نے وہ لکے بسط میں نے پڑھا ہے بس کو پھنی طرح,ur,0.5517241379310345
SPEAKER_001_YOUTUBEREVIEWS_0590.WAV,سب ہو گئے لیکن ایسا نہیں ہو سکتا کہ آپ آئیں اور میں آپ سے تیری خواب میں توبہ توبہ توبہ توبہ یہ میں کوشش کرتا,لیکن ایسا نہیں ہوا سکتا کہ آپ آئیں اور میں آپ سے دیدی کاف میں اب تو بات تو بات یہ میں کوشش کر,ur,0.46153846153846156
SPEAKER_004_YOUTUBEREVIEWS_0709.WAV,کہ اوئے، او تکا نہیں لگ گیا۔ تکا نہیں، تکا، تکا نہیں لگ گیا کہ نہیں۔,"very very tasty food ,and ajna sugar",hi,1.0
SPEAKER_037_FILM_0319.WAV,فوٹو دیکھ کر مر گئے ہو؟ فوٹو میں ہوتا کیا ہے؟ خیالات ہوتے ہیں؟ جذبات ہوتے ہیں ؟ دل موجود ہوتا ہے؟ پیار محسوس ہوتا ہے؟,Photos inkar margayo. Photomayo hodta kaya. Krala hodta kaya. Jasmah hodta kaya. Dilma hodta kaya. Pyaar masu hodta kaya.,hi,1.0
SPEAKER_001_DRAMA_0351.wav,اس کی وہ جو دوست ہے بتول، اس سے پوچھیں شاید اسے کچھ پتا ہو۔,اس کی وجہ دوست ہے بطول اس سے پوچھیں شہید اسے کچھ پتا,hi,0.3333333333333333
SPEAKER_006_POETRY_0380.wav,جرم آدم نے کیا اور نسل آدم کو سزا,جرم آدم نے کیا اور نسلی آدم کو سزا,ur,0.1111111111111111
SPEAKER_000_PROSES_0082.wav,اتنی جلد کہ ایک دن انگلیوں پر حساب لگایا تو اس بیچاری کی ازدواجی زندگی عدت کی میاد سے بھی مختصر نکلی۔,اتنی جل کے ایک دن اولیوں پر حساب لگایا تو اس بچاری کے ایسدواجی زنگی ادرت کی نیاد سے بھی مخصر نکلی,ur,0.5
SPEAKER_000_PROSES_0355.wav,کہتے تھے مجھ فقیر کو ان ہنگاموں سے کیا مطلب,كانت سولان وجم pressures,ar,1.0
SPEAKER_003_FILM_0068.WAV,تم گھر جاؤ تو اماں کو کہنا کہ ایجنسی فون کر دیں۔,تم کھا جاتا امہ کو کہنا کہیجنسی فون کر دے,ur,0.5833333333333334
SPEAKER_018_COMEDYSHOW_0506.WAV,وہ ہر سال بعد وہ ہمارے ٹریلر میں بھی ہے کہ وہ کہتا ہے اگلے کی پوری کرکٹ ٹیم ہوگئی ہے ہمارا اوپنر ہی پیدا نہیں ہو رہا۔,,error,
