accent,ground_truth,prediction_forced_en,wer_forced_en,wer_original
"India and South Asia (India, Pakistan, Sri Lanka)",Tottenham Hotspur and Inter Milan were also interested in signing the Celtic player.,"Tottenham, Otspur and Interminion were also interested in singing and aesthetic.",0.6153846153846154,0.9230769230769232
Filipino,Then Amilias fell apart.,Then Amelia's fell apart.,0.25,0.5
Singaporean English,Many deploy broad blocks of harmoniously arranged colour and are symbolic rather than narratival.,Many deploy broad blocks of harmoniously arranged colour in a symbolic rather than narrative.,0.21428571428571427,1.0
Singaporean English,"However, this is only a persona, as discussions on Mecha-Mecha Iketeru!","However, this is only a persona as discussions on Mecha Mecha Ikete Rui.",0.45454545454545453,1.0909090909090908
Singaporean English,This matches the substantive policy of freedom of contract.,This measures the substantive policy of freedom of contract.,0.1111111111111111,1.0
Singaporean English,"After all, most tests are administered to find out something about future behavior.","After all, most tests are administered to find out something about future behavior.",0.0,1.0
Singaporean English,"Under international funding, the temple has undergone many changes, both structurally and internally.","Under International funding, the temple has undergone many changes both structurally and thoroughly.",0.15384615384615385,1.0
Singaporean English,"The Nibutani Dam is situated on the Saru River, at Nibutani village.",The nibutani dam is situated on the Saru River at nibutani village.,0.08333333333333333,1.0
Singaporean English,"The aircraft is operated by many private individuals, companies and flying clubs.","The aircraft is operated by many private individuals, companies and flying clubs. Wait, you know what?",0.3333333333333333,1.4166666666666667
Singaporean English,Lacking professional routine his painting seem bitter and sounding.,"Black came professional routine, his painting seemed bitter and sounding.",0.4444444444444444,1.0
Singaporean English,"Hattusili renamed Urhi-Teshup's sibling Ulmi-Teshup ""Kurunta"" and appointed Kurunta over Tarhuntassa in his place.","Hato Sili renamed Arita Shop's sibling Umi Tarshak, Karanta and appointed Karanta over Tahu and Taseo in his place.",0.7857142857142857,1.2857142857142858
Singaporean English,The Pulitzer Committee issues an official citation explaining the reasons for the award.,The Product User Committee issues an official citation explaining the results reasons for the award.,0.23076923076923078,1.2307692307692308
Singaporean English,The company was renamed as Los Angeles Transit Lines.,The company was renamed as Los Angeles Transit Lines.,0.0,1.0
Singaporean English,All police officers statewide are required to attend basic training at the facility.,All police officers stay quiet or required to attend basic training at the facility.,0.23076923076923078,1.0
Singaporean English,The cryptoporticus can be visited through the museum.,The crypto-potikers can be visited through the museum.,0.125,1.25
Singaporean English,There are two Confederate dead interred in the cemetery.,There are two Confederate dead in third in the cemetery.,0.2222222222222222,1.0
