experiment,cs_level,clips,mean_wer,median_wer
small_auto,phrase,53,0.4802428441181916,0.4666666666666667
small_forced_ko,phrase,53,0.5687616379721643,0.5384615384615384
base_auto,phrase,53,0.6142493702396545,0.6
base_forced_ko,phrase,53,0.6358892331318965,0.6
small_forced_ko,sentence,6,0.3968253968253968,0.3333333333333333
small_auto,sentence,6,0.41071428571428575,0.4583333333333333
base_forced_ko,sentence,6,0.4468253968253968,0.31547619047619047
base_auto,sentence,6,0.4801587301587302,0.44047619047619047
small_auto,word,41,0.3457683536881817,0.2727272727272727
base_auto,word,41,0.5133472360599736,0.4285714285714285
small_forced_ko,word,41,0.7228040008702475,0.8
base_forced_ko,word,41,0.7539141595352178,0.9166666666666666
