accent,ground_truth,prediction,wer
"Southern African (South Africa, Zimbabwe, Namibia)",Somerset has a lengthy and colorful history.,Somerset has a lengthy and colorful history.,0.0
"Southern African (South Africa, Zimbabwe, Namibia)",He follows Wigan Warriors.,He follows Wigan Warriors.,0.0
"Southern African (South Africa, Zimbabwe, Namibia)",Currently Alimentation Couche-Tard is one of the largest convenience store companies in the world.,"Currently, the power supply is one of the largest convenience store companies in the world.",0.2857142857142857
"Southern African (South Africa, Zimbabwe, Namibia)","Walsh was named one of the world's great explorers by ""Life"" magazine.",Walls was named one of the world's greatest explorers by Life magazine.,0.25
"Southern African (South Africa, Zimbabwe, Namibia)",It is impossible to determine whether Lycurgus was an actual historical figure.,It is impossible to determine whether the curve is an actual stone config.,0.4166666666666667
"Southern African (South Africa, Zimbabwe, Namibia)",Above the portal is an octagonal rosette and a statue of the Sacred Heart.,Above the portal is an octagonal rosette and a statue of the sacred heart.,0.0
"Southern African (South Africa, Zimbabwe, Namibia)",Her subsequent trial caused an enormous scandal at the time.,Her sub-sipto-contrial caused an enormous scandal at the time.,0.2
"Southern African (South Africa, Zimbabwe, Namibia)",Crackers are typically pulled at the Christmas dinner table or at parties.,Crack a certificate pulled at the Christmas dinner table or at parties.,0.25
"Southern African (South Africa, Zimbabwe, Namibia)","Currently, the Hartford station serves the town.",Currently the Hartford station serves the top.,0.2857142857142857
"Southern African (South Africa, Zimbabwe, Namibia)",A end units have odd numbers while D end units have even.,A and units have odd numbers while D and units have even.,0.16666666666666666
"Southern African (South Africa, Zimbabwe, Namibia)",Human disturbances have had immense effects on the populations of the Hawaiian monk seal.,Human disturbances have had immense effects on the populations of the Hawaiian monk seal.,0.0
"Southern African (South Africa, Zimbabwe, Namibia)",This possession permanently scars her mind.,This position permanently scars her mind.,0.16666666666666666
"Southern African (South Africa, Zimbabwe, Namibia)",Icons flashing in red are more valuable than ordinary icons.,icons flashing in red are more valuable than ordinary icons,0.1
"Southern African (South Africa, Zimbabwe, Namibia)",Sam Coslow hated Jones' irreverent treatment.,Simon Coslow hated Jones's irreverent treatment.,0.3333333333333333
"Southern African (South Africa, Zimbabwe, Namibia)",There were also problems with noticeable seams between polygons.,There were also problems with noticeable seams between polygons.,0.0
"Southern African (South Africa, Zimbabwe, Namibia)",Organised crime is deeply rooted in Naples.,Organized crime is deeply rooted in Naples.,0.14285714285714285
