accent,ground_truth,prediction,wer
"India and South Asia (India, Pakistan, Sri Lanka)",Tottenham Hotspur and Inter Milan were also interested in signing the Celtic player.,s меч and 성 менее serups,0.9230769230769232
Filipino,Then Amilias fell apart.,Dan Amelia's fell apart.,0.5
Singaporean English,Many deploy broad blocks of harmoniously arranged colour and are symbolic rather than narratival.,Selang democrat idolak- building menerjakan suaja meng Khaled dan gunakan bawa Sembalik menerjak jalan,1.0
Singaporean English,"However, this is only a persona, as discussions on Mecha-Mecha Iketeru!",それら最も悪さ if you do not want to meet as famousüstれ case foravaş,1.0909090909090908
Singaporean English,This matches the substantive policy of freedom of contract.,Kepat ini menjadi tentang cantik bakal SIMP,1.0
Singaporean English,"After all, most tests are administered to find out something about future behavior.","Memang,FRP når mayorite ter mixing itu buat anda traintkan mock 對不對",1.0
Singaporean English,"Under international funding, the temple has undergone many changes, both structurally and internally.",Dalam ke randomly panjang,1.0
Singaporean English,"The Nibutani Dam is situated on the Saru River, at Nibutani village.","doivent dalam Maraud Aquirlis, Pada Helpadan datang diadalah alam akad L hyputan",1.0
Singaporean English,"The aircraft is operated by many private individuals, companies and flying clubs.","Satu serves orang ini berz 43 emang dapat penuh diundang barang daar? Makan glob, untuk k Baron!",1.4166666666666667
Singaporean English,Lacking professional routine his painting seem bitter and sounding.,Buat kekemburan model penghebatan marah diотil dalam estuperis.,1.0
Singaporean English,"Hattusili renamed Urhi-Teshup's sibling Ulmi-Teshup ""Kurunta"" and appointed Kurunta over Tarhuntassa in his place.","Anak s debit beruntung, menarik tempat setengah ratt osun yummy bangun uh Karanta dan atas kartat Ying 51",1.2857142857142858
Singaporean English,The Pulitzer Committee issues an official citation explaining the reasons for the award.,Vladimir Nickp Sometimeja akan memint unique liftingLook Minsang dalam kerja di designers suara laris untukusi kisah.,1.2307692307692308
Singaporean English,The company was renamed as Los Angeles Transit Lines.,Parsh Lab wanita main ter弾愫来 siinäBefore,1.0
Singaporean English,All police officers statewide are required to attend basic training at the facility.,"Felik, selama beri perasaulakan, bayi preferset, kebajangan bias Contentsty",1.0
Singaporean English,The cryptoporticus can be visited through the museum.,Peraman auf jalan bentuk maven bullet di jalan ka Golf,1.25
Singaporean English,There are two Confederate dead interred in the cemetery.,yang item est다는 untuk melihat res sağ Melendang,1.0
