accent,ground_truth,prediction,wer
"India and South Asia (India, Pakistan, Sri Lanka)",Obey grew up as a Republican.,Obey ruap asyai riba bika.,0.8333333333333334
"India and South Asia (India, Pakistan, Sri Lanka)",He has registered for eleven international patents on various aspects of video networking.,He has registered for 11 International Patents on various aspects of video networking.,0.07692307692307693
"India and South Asia (India, Pakistan, Sri Lanka)",B and M Bargains also has presence in the centre.,B and M bar gains also has presence in the center.,0.3
"India and South Asia (India, Pakistan, Sri Lanka)",Port of Long Beach is the largest container terminal in America.,Port of Long Beach is the largest container terminal in America.,0.0
"India and South Asia (India, Pakistan, Sri Lanka)",Planinc began to pursue a full-time career within the League of Communists of Croatia.,Planning began to pursue a full-time career within the League of Communists of Krocia.,0.14285714285714285
"India and South Asia (India, Pakistan, Sri Lanka)",Molybdenite-the principal ore from which molybdenum is now extracted-was previously known as molybdena.,Mollip denied the principle or from which Mollip denim is now extracted with previously known as Mollip denim.,0.8461538461538461
"India and South Asia (India, Pakistan, Sri Lanka)",The game was published by Eidos Interactive.,The game was published by AIDOS Interactive.,0.14285714285714285
"India and South Asia (India, Pakistan, Sri Lanka)",Tottenham Hotspur and Inter Milan were also interested in signing the Celtic player.,s меч and 성 менее serups,0.9230769230769231
"India and South Asia (India, Pakistan, Sri Lanka)",It is a concise listing of thirteen fundamental doctrines of Mormonism.,It is a concise listing of 13 fundamental doctrines of Mormonism.,0.09090909090909091
"India and South Asia (India, Pakistan, Sri Lanka)","After a hardship-filled infancy, upon completing his studies, he became a Christian preacher.","After a hardship filled, infancy upon completing his studies, he became a Christian preacher.",0.23076923076923078
"India and South Asia (India, Pakistan, Sri Lanka)",Assens is the municipal seat of Assens Municipality in Region of Southern Denmark.,Essence is the municipal seat of Essence Municipality in the region of southern Denmark.,0.23076923076923078
"India and South Asia (India, Pakistan, Sri Lanka)","Random-orbital sanders use sandpaper disks, and many include integrated dust collectors.",Random orbital senders use sandpaper discs and many include integrated dust collectors.,0.36363636363636365
"India and South Asia (India, Pakistan, Sri Lanka)",She now resides in London with her son and daughter.,She never sides in London with her son and don't have.,0.4
"India and South Asia (India, Pakistan, Sri Lanka)","No abbreviatins in contributed sentences, please.","No abbreviations in Contributed Sentences, please.",0.16666666666666666
"India and South Asia (India, Pakistan, Sri Lanka)",The signs have since been replaced with the correct shields.,The science has been replaced with the correct shields.,0.3
"India and South Asia (India, Pakistan, Sri Lanka)","Balete is from Kalibo, the provincial capital.","Balleté is from Calibur, the provincial capital.",0.2857142857142857
"India and South Asia (India, Pakistan, Sri Lanka)",He played with the Borodin Quartet.,He played with the Borotin Quartet.,0.16666666666666666
"India and South Asia (India, Pakistan, Sri Lanka)",Campbell died in Philadelphia.,Campbell died infillible fear.,0.5
"India and South Asia (India, Pakistan, Sri Lanka)","The wealth of some may ""depend"" on the poverty of others.",The wealth of some may depend on the poverty of others.,0.09090909090909091
"India and South Asia (India, Pakistan, Sri Lanka)",Prentice then took over the writing along with others.,Renters then to cover the writing along with others.,0.3333333333333333
"India and South Asia (India, Pakistan, Sri Lanka)",A fifth volume featuring the best of the daily strip is planned.,A fifth volume featuring the best of the daily ship expand.,0.25
"India and South Asia (India, Pakistan, Sri Lanka)",The outlines of the architecture then morph to a pattern of three-dimensional blocks.,The outlines of the architecture then morph to a pattern of three dimensional blocks.,0.15384615384615385
"India and South Asia (India, Pakistan, Sri Lanka)","Klein's father, an Orthodox follower of the Jewish faith, influenced Klein's early development.",Plains father and all the dogs follower of the Jewish faith influenced Plains early development.,0.6153846153846154
"India and South Asia (India, Pakistan, Sri Lanka)","The texture is crisp and firm, sometimes to the point of crunchiness.",,
"India and South Asia (India, Pakistan, Sri Lanka)",The pub still retains its outside gents' and ladies'.,The pot still retains its outside ginsens and ladies.,0.3333333333333333
"India and South Asia (India, Pakistan, Sri Lanka)",He has subsequently performed all around the world in operas and concerts.,He has subsequently performed all around the world in opra and concepts.,0.16666666666666666
"India and South Asia (India, Pakistan, Sri Lanka)","Henry Barrows was born in Saco, Maine.",Hand-re-barrels was born in Sir Co-Man,0.5714285714285714
"India and South Asia (India, Pakistan, Sri Lanka)",Tchachina was born to a Russian family as the eldest of three children.,Chachina was born to a Russian family as a center of three children.,0.23076923076923078
"India and South Asia (India, Pakistan, Sri Lanka)",Goliath herons can even be found in small watering holes.,Rolia Theran can even be found in small watering holes.,0.2
"India and South Asia (India, Pakistan, Sri Lanka)",The city is making use of its crucial geostrategic point in Croatia.,The city is making use of its crucial geostratic point and Croatia.,0.16666666666666666
"India and South Asia (India, Pakistan, Sri Lanka)","RaceWay stations, operated by contractors, continue as a part of RaceTrac Petroleum.",Raceway stations operated by contractors continue as part of racetrack petroleum.,0.3333333333333333
"India and South Asia (India, Pakistan, Sri Lanka)",Note: New models are highlighted in bold.,"Note, new models are highlighted in bold.",0.14285714285714285
"India and South Asia (India, Pakistan, Sri Lanka)",It was the second appearance of the sport in Olympic competition.,It was the second appearance of the sport in Olympic competition.,0.0
"India and South Asia (India, Pakistan, Sri Lanka)",He is known for his paintings of ships and Arctic seascapes.,He is known for his paintings of ships and R-Tex C-scapes.,0.18181818181818182
"India and South Asia (India, Pakistan, Sri Lanka)",The Spieker center of a triangle is the radical center of its excircles.,The Spaker Center of a Tangle is the Radical Center of its Excercles.,0.23076923076923078
"India and South Asia (India, Pakistan, Sri Lanka)","She is buried in Mount Pleasant Cemetery, Toronto.",She is buried in Mount Pleasant Cementary Torrento.,0.25
"India and South Asia (India, Pakistan, Sri Lanka)",He made clear he considered it especially suited for my column.,He meant clear he considered it specially sweeted for my colour.,0.36363636363636365
