utt_id,ground_truth,prediction,detected_language,wer
834022_lHGLSlYIb1clRBRF_0000,लिबर ऑफिस impress में presentation notes पर spoken tutorial में आपका स्वागत है,Le இ JUL COURTIANole,hi,1.0
137494_fpL6MBSZsci9dyAn_0099,यदि आपका प्रिंटर सही कंफिगर है तो मेल अब प्रिंट करना शुरू करना चाहिए,checked,hi,1.0
103725_UO5ZLDtkc8QMi9Hk_0025,type करें: dot slash args enter दबाएं,Type karee.slashards & tithabai,en,1.0
957491_4xyIm2P6Xzlin341_0070,मेल अकाऊंट सेटअप डायलॉग बॉक्स प्रदर्शित होता है,meel account setup dialogue box laptops,hi,1.0
388577_LPGZ2Jo8uBX4sx76_0005,इस tutorial का अनुसरण करने के लिए आपको किसी भी operating system पर कार्य करने का ज्ञान होना चाहिए,ajap dieselha oakap lculia,hi,1.0
347099_K5BlLYB9ynemLTVa_0017,color में gray scale चुनते हैं,اسے پڑنٹ کرے گا کلان میں گریف کل چنٹے ہیں,hi,1.6666666666666667
323507_HgEJsLGKNWSFl8T7_0045,यहाँ इन options के लिए shortcut कीज भी हैंcopy करने के लिए ctrl + c और paste करने के लिए ctrl + v,Hier are in options for short cut keys. Copy to c and paste to c and c. Copy to c and c and c.,hi,1.0
146881_TkzR0GrQyK0vSTuj_0050,आप देखेंगे कि टेक्स्ट सामान्य हो गया है जिस बदलाव को समीक्षक ने सुझाया है,,hi,1.0
957491_4xyIm2P6Xzlin341_0049,सबसे पहले जीमेल अकाऊंट में लॉगिन करें,"时 aged 3,",hi,1.0
137494_fpL6MBSZsci9dyAn_0062,thread व्यू से बाहर आने के लिए केवल thread आइकन पर फिर से क्लिक करें,"Third View ,Second,Iconspheros",hi,1.0
847066_Bmcrju1ByfdrXE9P_0061,tasks pane से slide transitions पर click करें,"so this is s\'92s pansī, slide transmissions per click driver",hi,1.0
957491_4xyIm2P6Xzlin341_0066,कनेक्शन सेटिंग्स डायलॉग बॉक्स में use system proxy settings आप्शन चुनें,Connection Settings dialog box Use System Proxy Settings option,en,1.0
628028_K8YJLqIcMPJ5GftE_0126,और move down बटन्स का इस्तेमाल करेंगे,بتیکugs ج Lifalрим Unm爸银建 Kansas,hi,1.0
133511_swLUjPHatcTk0wf8_0080,आई आई टी बॉम्बे की तरफ मैं सकीना अब आप से विदा लेती हूँ इस ट्यूटोरियल में शामिल होने के लिए धन्यवाद,ہاتی بہمト commoduito رап سے میں کہتی ہله. ہpelت ایہ اپ washerOOK آپ سے Vidalayet tayаж کوونےNever WhereveruceWhen,hi,1.0
656852_dNHXkqqVPqWYhzis_0010,मेरे system में gedit text editor पहले से ही संस्थापित है,vringsystem mein reattic Text Editor dil who samarpted ab here ay,hi,1.0
521245_Psh5UDSFbhWLZ3gk_0003,मैसेजेस को खोजने के लिए एडवांस्ड फिल्टर्स कैसे निर्धारित करें,Metages کو khosne ke liye Advanced Filters kese nidhaid kane,hi,1.0
118638_nJfFvNUB8tQkaGgp_0000,एक्सफिग के प्रयोग से फीडबैक डाइअग्रैम बनाने के इस मौखिक ट्यूटोरियल में आपका स्वागत है,сп,hi,1.0
103725_UO5ZLDtkc8QMi9Hk_0045,यह spoken tutorial project को सारांशित करता है,spokents tutorial project visit your friends homes,hi,0.75
137494_fpL6MBSZsci9dyAn_0026,मैसेजेस अब एक वर्णानुक्रमी क्रम में श्रेणीबद्ध हो गये हैं,مثیجز اب ایک پر نانو کرمی کرم میں شریعی بدا,hi,1.0
323507_HgEJsLGKNWSFl8T7_0026,अब आप अपने पहले statement को type करने के लिए तैयार हैं,اب آپ اب نے پہلے 스테ٹمن کو ٹائب کرنے کے لئے تیار ہے چاہلی,hi,1.1666666666666667
323507_HgEJsLGKNWSFl8T7_0083,तो पहले heading education details को चुनें,Dyalike llye onnderlein sac Pane Hedding Education,hi,1.0
610773_nImMxiSAAmCMR3yi_0048,उदाहरणस्वरूप पहले text पर दायाँ click करें और फिर menu में text option पर click करें,او دھان سروب پہلے ٹیکس پر دائے کلے اور فیل مینیوں میں ٹیکس اوپشن پر کلے,hi,1.0
656852_dNHXkqqVPqWYhzis_0057,file saving option के नीचे autosave files checkbox को टिक करें,auto safe pulse check box gotic curry all minutes,hi,1.0
103725_UO5ZLDtkc8QMi9Hk_0031,अब दोबारा निष्पादन करते हैं,NAỗqual Press,hi,1.0
656144_VU6OA7HUqTpQNtm2_0032,panel पर click करें,Panel puk plakerin,hi,1.0
318923_NhV290ew2hDJfVqc_0068,main menu से tools और manage snippets पर click करें,dropped height. Silika surface Pursuit,hi,1.0
921151_kvxzesc5pGxL6dnk_0072,इस document में oranges शब्द को गलत लिखते हैं जैसे दिखाया गया है,mainstream oranges mushab ownerongo knife name pension aging er dim gulla,hi,0.9230769230769231
834022_lHGLSlYIb1clRBRF_0042,notes text box के ऊपरीबाएँ कोने पर त्रिकोण प्रविष्ट करें,,error,
921151_kvxzesc5pGxL6dnk_0012,यह इंगित करता है कि वे सक्रिय हैं और हम उन्हें इस्तेमाल कर सकते हैं,आपके लग्वे हैं। आपके लग्वे हैं। यह लग्वे हैं।,hi,1.0
628028_K8YJLqIcMPJ5GftE_0125,आप बाएँ कॉलम के mozilla thunderbird address book के फील्ड्स को दायें कॉलम के जीमेल record data to import column से मिलाने के लिए move up,آپ بائے کولم کے مجلا ثندر بود اٹرس بکے فیلس کو دائے کولم کے جیمیل رکوڑ دیتا to import,hi,0.9230769230769231
508088_RRrEfkw4Rh5TdJkS_0096,अधिक जानकारी के लिए contact @spokentutorial org पर संपर्क करें,kontakt add spoken hyphen tutorial.org per sampler kare,hi,1.0
323507_HgEJsLGKNWSFl8T7_0033,आप क्रमानुसार bullets के लिए indent बढ़ाने और घटाने के लिए टैब और shift कीज का उपयोग कर सकते हैं,14Ch departments tuust & dal,hi,1.0
521245_Psh5UDSFbhWLZ3gk_0114,copies and folders डायलॉग बॉक्स दायें पैनल पर प्रदर्शित होता है,,hi,1.0
656852_dNHXkqqVPqWYhzis_0005,पहले हम सीखेंगे की gedit text editor को कैसे संस्थापित करना है,DX finance,hi,1.0
388577_LPGZ2Jo8uBX4sx76_0018,यह इस लिए क्योंकि gedit text editor पहचानता है कि यह c program code है,buurt van Halik a 했어요 JMT ve AP Chong,hi,1.0
103085_w5Jyq3XMbb3WwiKQ_0026,यहाँ दो तरीके है जिससे हम slide की प्रतिलिपि डुप्लिकेट बना सकते हैं,यहादो तरी के हैं जिसे हैं सलायँ की पतिलीपी बनादूद,hi,0.9230769230769231
957491_4xyIm2P6Xzlin341_0143,get mail पर क्लिक करें और get all new messages पर क्लिक करें,get meal per clickeray or get all new messages per clickeray buy banal se,hi,0.7692307692307693
161768_ZQC2TFqLsvNDq9bP_0064,pdf options dialog box में file और फिर export as pdf पर click करें pdf options dialog box में सभी options वैसे ही रहने दें और export button पर click करें,PDF Options Dialogue Box May File or 3 Export s PDF per click PDF Options Dialogue Box May Savi Options Vasey Rene Re or Export Button per click,hi,0.9354838709677419
918821_jFTbEEy3BCO5axj5_0047,आई आई टी बॉम्बे की तरफ मैं सकीना अब आप से विदा लेती हूँ इस ट्यूटोरियल में शामिल होने के लिए धन्यवाद,आप्पाशे विदाले ती हो दान्वाल,hi,1.0
521245_Psh5UDSFbhWLZ3gk_0006,याहू अकाउंट को खुद से कन्फिगर करना,یا ہوا کون کو خود سے کنفیگر کننا,hi,1.1428571428571428
453832_n3lwFhZkSdbJkOa0_0046,अतः अब हम देखने के लिए तैयार हैं कि कैसे spellcheck विशेषता english usa भाषा के लिए कार्य करती है,ok bootamput leak naudible now MacBook,hi,1.0
388577_LPGZ2Jo8uBX4sx76_0017,क्या आपने ध्यान दिया कि file को सेव करने के बाद program में कई रंग हैं,dhhandia ki pile ko saipkarni ke baat kogram mikayi rang hai.,hi,1.0
161768_ZQC2TFqLsvNDq9bP_0047,सेव dialog box खुलेगा हम इस फाइल को sample impress के रूप में सेव करेंगे और सेव button पर click करें,Raider boxwn window will open dibujer Click level button shot,hi,0.9523809523809523
323507_HgEJsLGKNWSFl8T7_0012,हमने पहले से resume शब्द टाइप किया है और इसे पेज के center में अलाइन एकरेखित किया है,ہم نے پہلے سے تزیوم شبд Type کیا ہے اور اسے پیچ کے کیندر میں آلاین کیا ہے,hi,1.0
957491_4xyIm2P6Xzlin341_0162,यदि आपके पास अच्छा bandwidth नहीं है तो आप इसे download करके देख सकते हैं,ندیال کے پاس اچھا بیندت نہیں ہے تو آپی سے دونلڈ کر دی,hi,1.0
453832_n3lwFhZkSdbJkOa0_0031,find and replace विशेषता के बारे में सीखने के बाद हम अब सीखेंगे कि libreoffice writer में spellcheck का इस्तेमाल करके वर्तनी कैसे जाँचे,"جانیں گے, فائن اور پیشششتہ کے بارے میں سیکھنے کے بعد ہم پیکھیں کی لیبر آفیس رائٹر میں سپل چکاستمال کر کے ورطنی کیسے جانچے.",ur,1.0416666666666667
137494_fpL6MBSZsci9dyAn_0061,पूर्ण वार्तालाप मैसेज प्रिव्यू पैनल में दिखाई देता है,Poonwatalaab Message Preview Panel,hi,1.0
137494_fpL6MBSZsci9dyAn_0022,get mail आइकन पर क्लिक करें और get all new messages चुनें,get mail icon click on get all new messages,hi,0.5
478254_aVTioioyNUVPGF4t_0095,tool bar वो bar tools रखते हैं जो आपको jchempaint के साथ काम करने के लिए आवश्यक हैं,"toolbars, vosare tools, which you can work with jcampain.",hi,1.0
137494_fpL6MBSZsci9dyAn_0039,टूलबार से tag आइकन पर क्लिक करें और important चुनें,2nd part ke chune 2nd part ke tag icon per click 4th part ke chune 4th part ke chune,hi,1.8
478254_aVTioioyNUVPGF4t_0009,* drawing को  mol extension के साथ सेव करना,drawingko.mallextension kese at safe karna,hi,1.0
453832_n3lwFhZkSdbJkOa0_0061,जैसे ऑप्शन्स आप निर्धारित करते हैं उसके अनुसार autocorrect अपने आप से फाइल को फॉर्मेट करता है,etc.,hi,1.0
656852_dNHXkqqVPqWYhzis_0064,संक्षेप में,in this tutorial,hi,1.5
360746_4oLp3bc9OSJbDrwM_0028,syntax1:,Sintex 1 Union Union Name Karli bracket Members Karli bracket Kebbad Union Ferryville or XM Ecolon,hi,16.0
118638_nJfFvNUB8tQkaGgp_0047,कर्सर और छोटा डॉट फिर से दिखाई पड़ता है और सुझाव देता है के हम उन्हें किसी और जगह भी रख सकते है,என65 Group Rוft mou 용o,hi,1.0
957491_4xyIm2P6Xzlin341_0021,मोज़िला थंडरबर्ड,مزلطة,ar,1.0
521245_Psh5UDSFbhWLZ3gk_0156,इस ट्यूटोरियल में हमने सीखा कि कैसे:,"Leaxom, vuelcame a necesitar que eso, convert't.",es,1.0
628028_K8YJLqIcMPJ5GftE_0089,इस एड्रेस बुक को डिलीट करें,Active,hi,1.0
137494_fpL6MBSZsci9dyAn_0154,यह spoken tutorial को सारांशित करता है,ya 영화,hi,1.0
478254_aVTioioyNUVPGF4t_0089,* edit system variable dialog box खुलता है,Add it System Variable dialog box kulta hai.,hi,0.75
133511_swLUjPHatcTk0wf8_0046,अब इस फोर्मुला की दिखावट में सुधार लाते है,bila ki dikawatke me sadakhar rope,hi,1.0
628028_K8YJLqIcMPJ5GftE_0154,अधिक जानकारी के लिए कृपया contact @spokentutorial org पर लिखें,Adhijan Kari ke lekrepya contact at spokenhyphen tutorial.org Pallike. Spoken tutorial pro,hi,1.2
388577_LPGZ2Jo8uBX4sx76_0079,display line numbers option को checkmark करें,LINE NUMBERS OPTION GO CHECK MARKKING Highlight,hi,1.0
791308_kGQKLyQ1HtnUNL1d_0083,मैं window clear करुँगी,i will play window,hi,1.0
791308_kGQKLyQ1HtnUNL1d_0042,सूची में निम्न हैं sytem metal nimbus motif gtk और windows,suchi min namin hai system metal nimbus motif gtk or windows,hi,0.5454545454545454
478254_aVTioioyNUVPGF4t_0020,java को synaptic package manager प्रयोग करके ubuntu पर संस्थापित किया जा सकता है,जावा को सनप्व्तिक पकेश्में जर परीोगकल के वपन्तू पर सनव्व्व्व्व,hi,0.8571428571428571
656144_VU6OA7HUqTpQNtm2_0098,एक menu खुलता है; r1 चुनें,1 sabhme niyo kulta hai arvan chuni,hi,1.1666666666666667
318923_NhV290ew2hDJfVqc_0041,एक और else if नामक snippet देखते हैं,GrART,hi,1.0
921151_kvxzesc5pGxL6dnk_0025,apply changes button पर click करें,BuildNextYouwebly,hi,1.0
133511_swLUjPHatcTk0wf8_0008,ब्रिस  विन्डोज़ पर चलता है लेकिन वह इस ट्युटोरियल में नहीं बताया गया है,soil,hi,1.0
118638_nJfFvNUB8tQkaGgp_0057,अब language और फिर pdf को चुनते है हमें feedbackpdf फाइल मिलती है open feedbackpdfइस कमांड से फाइल को ओपन करते है,Open Feedback.pdf its command say file go open Open Feedback.pdf,hi,0.9545454545454546
834022_lHGLSlYIb1clRBRF_0089,इस mission पर अधिक जानकारी के लिए उपलब्ध लिंक पर संपर्क करेंspoken hyphen tutorial dot org slash nmeict hyphen intro,,hi,1.0
323507_HgEJsLGKNWSFl8T7_0064,तो पहले text education details को चुनें फिर font name स्थान में down arrow पर click करें,demande geçر اتیسงان Demokratیان � teknیumuج كانون,hi,1.0
388577_LPGZ2Jo8uBX4sx76_0064,document को gedit text editor window में पुनर्व्यवस्थित करते हैं जैसे कि पहले किया था,G-Edit Tax Editor window Puna Pagasthit Kipala Kipala Kipala,hi,0.9333333333333333
133511_swLUjPHatcTk0wf8_0050,पिडीऍफ़ लेटेक  का इस्तेमाल कर इसे संकलित करते है,sideshot now and Depot,hi,1.0
323507_HgEJsLGKNWSFl8T7_0084,अब text को bold करने के लिए bold icon पर click करें,Utages marketing,hi,1.0
137494_fpL6MBSZsci9dyAn_0056,हम मैसेज threads का उपयोग एक सतत प्रवाह में एक पूरी वार्तालाप के रूप में संबंधित मैसेसेज को देखने के लिए करते हैं,,hi,1.0
521245_Psh5UDSFbhWLZ3gk_0132,ध्यान दें कि enable adaptive junk mail controls for this account बॉक्स डिफ़ॉल्ट रूप से चुनित है,"Dhani, ki enable adaptive junk mail controls for this account box default route se chunethe.",hi,0.5294117647058824
791308_kGQKLyQ1HtnUNL1d_0112,* panel का background रंग बदलना,PANELKA BEDROUND RANG BADALNA,te,1.0
478254_aVTioioyNUVPGF4t_0033,अब सेव की हुई file को downloads folder से desktop पर let जाएँ,"unbox , overnight store at noon",hi,1.0
161768_ZQC2TFqLsvNDq9bP_0077,अब हमारे द्वारा देखी गई file को फिर से ओपन करें,ahora removed把它jawum t Barn �yle,hi,1.0
478254_aVTioioyNUVPGF4t_0055,close पर click करें,Close & click,hi,0.75
