id,speaker_id,ground_truth,prediction,detected_language,wer
105_003_0668,105,평소 오전 아홉 시 에서 오후 일곱 시까지 일하면 하루 이 만원 정도를 번다,평소 오전 9시에서 오후 7시까지 일하면 하루 2만원 정도를 번다.,ko,0.5714285714285714
105_003_0725,105,야권은 여당에서 분명한 입장을 표해야 한다고 연일 압박 수위를 높이고 있다,약권은 여당에서 분명한 입장을 표해야 한다고 연일 압박수위를 높이고 있다.,ko,0.36363636363636365
105_003_1156,105,업계 관계자는 가격이 오르면 지상파 삼 사는 연간 천 이백 억원 추가 수익을 올린다면서 그 부담은 이용자에게 고스란히 넘어갈 수밖에 없다고 토로했다,업계 관계사는 가격이 오르면 지상파 3사는 0간 1200억 원 추가 수익을 올린다면서 그 부담은 이용자에게 코스란히 넘어갈 수밖에 없다고 토로했다.,ko,0.4090909090909091
105_003_1386,105,이날 박창진 사무장은 내 지인으로부터 메신저 연락이 왔는데 나에 대한 찌라시가 돌고 있다고 한다고 전했다,이날 박창진 사무장은 내 지인으로부터 메신저 연락이 왔는데 나에 대한 찌라시가 돌고 있다고 한다고 전했다.,ko,0.06666666666666667
105_003_1408,105,국내 경기가 여전히 침체된 상태에서 금리마저 올라가면 경기 회복 국면에 찬물을 끼얹을 수도 있다는 진단이다,국내 경기가 여전히 침체된 상태에서 금리 맞아 올라가면 경기 회복 국면에 찬물을 끼얹을 수도 있다는 진단이다.,ko,0.2
105_003_1861,105,지금은 대통령한테 줄을 대서 당선을 해보겠다 이런 이미지를 주는 경향이 없지 않다고 생각합니다,지금은 대통령한테 줄을 대서 당선을 해보겠다 이런 이미지를 주는 경향이 없지 않다고 생각합니다.,ko,0.07692307692307693
105_003_2095,105,손재주가 별로 없는 사람들은 처음에 자주 상처를 입었을 것입니다,손재주가 별로 없는 사람들은 처음에 자주 상처를 입었을 것입니다.,ko,0.1111111111111111
105_003_2227,105,하느님께서는 누구에게 우리가 우리의 형상대로 우리의 모양을 따라 사람을 만들자라는 말씀을 하셨나요,하나님께서는 누구에게 우리가 우리의 형상대로 우리의 모양을 따라 사람을 만들자라는 말씀을 하셨나요?,ko,0.16666666666666666
105_003_2853,105,마이너스 금리 예치제도 효과를 보완하기 위한 목적이다,마이너스 금리 예치 제도 효과를 보완하기 위한 목적이다.,ko,0.42857142857142855
105_003_2955,105,그런데 여기서 이런 식으로 성매매 업주한테 빌린 돈은 안 갚아도 된다는 교육을 했습니다,그런데 여기서 이런 식으로 성매매 업주한테 빌린 돈은 안 갚아도 된다는 교육을 했습니다.,ko,0.07692307692307693
126_003_0295,126,하지만 곧 이 지역에 살고 있는 매우 다양한 동식물이 과학자들의 주의를 끌게 되었는데 오렌지두꺼비가 발견된 뒤로는 특히 그러하였습니다,하지만 이 지역에 살고 있는 매우 다양한 동식물이 과학자들의 주의를 끌게 되었는데 오렌지 두꺼비가 발견된 뒤로는 특히 그러하였습니다.,ko,0.2222222222222222
126_003_0376,126,반면 하종강 성공회대 노동아카데미 주임교수는 인간에 대한 이해 부족이 낳은 현상이라며 실직하는 노동자의 비인간적 고통을 생각해야 한다고 강조했다,"반면, 하중강 성공에 대해 노동아카데미 주인 교수는 인간에 대해",ko,1.0
126_003_1606,126,혹시라도 두 살과 네 살짜리 언니들이 카이라가 예쁘다고 손이나 발이라도 만지면 안되기 때문입니다,혹시라도 두 살과 네 살 자리 언니들이 카이라가 예쁘다고 손이나 발이라도 만지면 안되기 때문입니다.,ko,0.23076923076923078
126_003_1763,126,언제 이 뚜껑이 들끓어서 열릴까하는 게 시간문제였거든요,언제 이 뚜껑이 들그러서 열릴까 하는 게 시가 문제였거든요.,ko,0.7142857142857143
126_003_2291,126,여우밍레이는 모든 문과 창문이 닫혀 있었고 주변에는 감시카메라가 있었다며 이웃들로부터 오랫동안 자오웨이 처가 식구를 보지 못했다는 말을 들었다며며 전했다,여우 밍 레인은 모든 문과 차문이 닫혀 있었고 주변에는 감식 카메라가 있었다며 이웃 둘러부터 오랫동안 자후 외의 처가식구를 보지 못했다는 말을 들었다며 전했다.,ko,0.6842105263157895
126_003_2380,126,십 여년 전 맥없이 모든 빗장을 풀었다가 워낙 혹독한 대가를 치렀던 우리의 아픈 경험이 떠올랐기 때문이겠죠,10여 년 전 맥없이 모든 빗장을 풀었다가 워낙 호떡한 대가를 치렀던 우리의 아픔이 떠올랐기 때문이겠죠.,ko,0.375
126_003_2397,126,폭발로 인한 연기는 공항 밖 주차장까지 퍼져나갔고 사람들은 놀라 뛰쳐나가기 바쁩니다,폭발로 이날 연기는 공항박 주차장까지 퍼져 나갔고 사람들은 놀라 뒤쳐나오기 바쁩니다.,ko,0.6363636363636364
126_003_2643,126,그런데 어찌하여 그런 뜨거운 가슴을 지닌 사람이 개성공단 폐쇄나 사드 문제에 관해 그렇게 미온적인가,그런데 어째야 그런 뜨거운 가슴을 지닌 사람이 개성공단 폐쇄나 싸드 문제에 관해 그렇게 미온적인가,ko,0.14285714285714285
126_003_2706,126,한국 무속의 경우에도 남쪽 지방과 북쪽 지방이 상당히 다르다,한국 무소회의 경우에도 남쪽 지방과 부쪽 지방이 상당히 다르다.,ko,0.3333333333333333
126_003_2881,126,흥미롭게도 바울은 부유한 사람들에게 구체적인 지침을 제시하였습니다,흥미롭게도 바울은 부유한 사람들에게 구체적인 지침을 제시하였습니다.,ko,0.14285714285714285
132_003_0860,132,시간이 흐를수록 피고인 박씨에게 불리한 재판부의 판결이 이어지자 법정 안에 방청객으로 앉아 있던 피고인 박씨의 가족들 사이에서 불만의 소리가 터져 나왔다,시간이 흐를수록 피고인 박 씨에게 분리한 재판부에 판결이 이어지자 법정안에 방청객으로 앉아있던 피고인 박 씨의 가족들 사이에서 불만의 소리가 터져 나왔다.,ko,0.5238095238095238
132_003_1101,132,이세우 전체적으로 두 분이 병원에 지금 입원하셨었는데요,이제요. 전체적으로 두 분이 병원에 지금 입원하셨는데요.,ko,0.2857142857142857
132_003_1114,132,배가 기울어지는 상황에서 김초원 선생님께서 나는 기간제니까 아이들을 구할 필요는 없어 이렇게 생각하지는 않았을 것 아니에요,배가 기울어지는 상황에서 김초원 선생님께서 나는 기간제니까 아이들을 구할 필요는 없어 이렇게 생각하지는 않았을 거 아니에요.,ko,0.125
132_003_1324,132,그런데 이 노래는 좀 더 감동이 짙게 묻어나면서 그 여자를 위한 헌정의 느낌을 살려야 될 것 같았다,그런데 이 노래는 좀 더 감동이 짙게 묻어나면서 그 여자를 위한 환정의 느낌을 살려야 될 것 같았다.,ko,0.11764705882352941
132_003_1366,132,조사해봤지만 트럼프의 주장을 뒷받침할 만한 정보를 찾지 못했다는 것이다,조사에 받지만 트럼프의 주장을 뒷반침할 만한 정보를 찾지 못했다는 것이다.,ko,0.4444444444444444
132_003_1587,132,게이츠는 저자 굿윈의 또 다른 책 권력의 조건도 추천했다,게이츠은 저자 굿윈의 또 다른 책 권력의 조건도 추천했다.,ko,0.2222222222222222
132_003_2015,132,세 명의 선행팀이 현장에 먼저 가서 상황과 동선을 파악하면 안 후보와 같은 차를 탄 세 명의 수행팀이 뒤이어 현장에 도착하는 식이다,3명의 선행팀이 현장에 먼저 가서 상황과 동선을 파악하면 안후부와 같은 차를 탄 3명의 수행팀이 뒤이어 현장에 도착하는 시기다.,ko,0.3333333333333333
132_003_2464,132,그런데 도박으로 돈을 따려는 사람은 다른 사람이 돈을 잃기를 바라는 것이나 마찬가지입니다,그런데 도박으로 돈을 따려는 사람은 다른 사람이 돈을 일기를 바라는 것이나 마찬가지입니다.,ko,0.16666666666666666
132_003_2518,132,잘못된 것 알았을 때 부조리할 때 용기를 낼 수 있는게 교육의 목적 아니냐 고 발언해 청중의 박수를 받았다,잘못된 걸 알았을 때 부절이 할 때 용기를 낼 수 있는 게 교육의 목적 아니냐고 발언의 청중에 박수를 받았다.,ko,0.5555555555555556
132_003_2988,132,그녀가 사실을 이야기 할 수 있도록 설득하는 것이 중요하다,그녀가 사실을 이야기할 수 있도록 설득하는 것이 중요하다,ko,0.2222222222222222
104_003_0019,104,지난해 삼 월 김 전 장관의 동료인 장동련 홍익대 교수가 민간 자문단장으로 위촉되면서 본격적인 공모와 개발 작업에 들어갔다,지난해 3월 김 전 장관의 동료인 장동련 홍익대 교수가 민간 자문단장으로 위촉되면서 본격적인 공모와 개발 작업에 들어갔다.,ko,0.16666666666666666
104_003_0352,104,다른 지역에서는 그곳이 아무리 넓다 하더라도 푸야 라이몬디를 발견하기가 어려울 것입니다,다른 지역에서는 그곳이 아무리 넓다 하더라도 푸야 라이문디를 발견하기가 어려울 것입니다.,ko,0.18181818181818182
104_003_0526,104,육십 사 년 초임검사로 임관한 김 전 실장은 십 년 후인 칠십 사 년 사 월 중앙정보부장 법률보좌관으로 파견됐고 같은 해 구 월 대공수사국장이 됐다,"64년 초임검사로 인관한 김 전 실장은 10년 후인 74년 4월 중앙정보부장 법률보자관으로 파견됐고, 같은 해 9월 대공수사국장이 됐다.",ko,0.64
104_003_0664,104,작년 십 이 월 천 이백 십 원대까지 올랐던 원 달러 환율은 최근 천 백 오십 원대로 오 퍼센트가량 떨어지면서 외국인 자금 유입에 도움을 주고 있다,작년 12월 120원 때까지 올랐던 원달러 한율은 최근 1150원대로 5%가량 떨어지면서 외국인 자금유입에 도움을 주고 있다.,ko,0.7307692307692307
104_003_0993,104,통신 회사들 역시 수중 케이블을 설치할 때 가장 안전하고 효과적인 경로를 결정할 수 있게 된다,통신회사들 역시 수준 케이블을 설치할 때 가장 안전하고 효과적인 경로를 결정할 수 있게 된다.,ko,0.26666666666666666
