audio,ground_truth,prediction,detected_language,wer
SPEAKER_005_YOUTUBEREVIEWS_0885.WAV,خالی رومینس بھی نہیں ہے اتنا لینیئر بھی نہیں ہے پراجیکٹ زیادہ اس لیے نہیں بول رہی کہ ابھی صرف میں نے پڑھا ہے ابھی اس کو پوری طرح,ہالی رومانس بھی نہیں ہے اتنا اینیر بھی نہیں ہے رووجک زادہ اسی نے وہ لکے بسط میں نے پڑھا ہے بس کو پھنی طرح,ur,0.5517241379310345
SPEAKER_001_YOUTUBEREVIEWS_0590.WAV,سب ہو گئے لیکن ایسا نہیں ہو سکتا کہ آپ آئیں اور میں آپ سے تیری خواب میں توبہ توبہ توبہ توبہ یہ میں کوشش کرتا,کیا سب ہوگے لیکن ایسا نہیں ہوا سکتا کہ آپ آئیں اور میں آپ سے دیدی خواب میں اب تو بات تو بات تو بات یہ مہیں کوشش کر,ur,0.5384615384615384
SPEAKER_004_YOUTUBEREVIEWS_0709.WAV,کہ اوئے، او تکا نہیں لگ گیا۔ تکا نہیں، تکا، تکا نہیں لگ گیا کہ نہیں۔,,error,
SPEAKER_037_FILM_0319.WAV,فوٹو دیکھ کر مر گئے ہو؟ فوٹو میں ہوتا کیا ہے؟ خیالات ہوتے ہیں؟ جذبات ہوتے ہیں ؟ دل موجود ہوتا ہے؟ پیار محسوس ہوتا ہے؟,فٹوزیں کر مرگے ہو؟ فٹو میں ہوتا ہے؟ خلاف ہوتے؟ جزبا ہوتے؟ دل میں جو ہوتے؟ پیارنسو ہوتے؟,ur,0.7692307692307693
SPEAKER_001_DRAMA_0351.wav,اس کی وہ جو دوست ہے بتول، اس سے پوچھیں شاید اسے کچھ پتا ہو۔,اس کی وہ جو دوست ہے بطول اس سے پوچھیں شاہید اسے کچھ پتا,ur,0.2
SPEAKER_006_POETRY_0380.wav,جرم آدم نے کیا اور نسل آدم کو سزا,جرم آدم نے کیا اور نسلی آدم کو سزا,ur,0.1111111111111111
SPEAKER_000_PROSES_0082.wav,اتنی جلد کہ ایک دن انگلیوں پر حساب لگایا تو اس بیچاری کی ازدواجی زندگی عدت کی میاد سے بھی مختصر نکلی۔,اتنی جل کے ایک دن اولیوں پر حساب لگایا تو اس بچاری کے ایسدواجی زنگی ادرت کی نیاد سے بھی مخصر نکلی,ur,0.5
SPEAKER_000_PROSES_0355.wav,کہتے تھے مجھ فقیر کو ان ہنگاموں سے کیا مطلب,کہ تی تی مدفقیر کو انہنگا مزی کامرلے,ur,0.9
SPEAKER_003_FILM_0068.WAV,تم گھر جاؤ تو اماں کو کہنا کہ ایجنسی فون کر دیں۔,تم کھا جاتا امہ کو کہنا کہیجنسی فون کر دے,ur,0.5833333333333334
SPEAKER_018_COMEDYSHOW_0506.WAV,وہ ہر سال بعد وہ ہمارے ٹریلر میں بھی ہے کہ وہ کہتا ہے اگلے کی پوری کرکٹ ٹیم ہوگئی ہے ہمارا اوپنر ہی پیدا نہیں ہو رہا۔,ہر سال بات وہ امر پرےلر میں بھی ہے کہ وہ کہتا گلی کی پوری کرکٹیم ہو گئی ہمارہ اپنا نہیں پیدا نہیں ہو رہا,ur,0.5
SPEAKER_000_PROSES_0277.wav,سائیکل چلانے کے اس طریقے کا ایک نہایت باریک قانونی نکتہ انہوں نے یہ بتایا ہے,سائکل جلانے کی اس طریقل کا ایک نحائی باریخ کانونی نکتہ انہوں نے یہ بتایا,ur,0.5
SPEAKER_002_DRAMA_0296.wav,تمہارے مشورے کا شکریہ۔ اب میرے جواب کا انتظار کرو۔,تمہارے مشفرے کا ششکریہ اب میری چوہ بگن دیزار کن,ur,0.7
SPEAKER_000_PROSES_0260.wav,اتوار کو علی الصبح سائیکل پر نکل جاتے,اتوار کو اولا سوب سائکل پر نکل جاتے,ur,0.375
SPEAKER_035_FILM_0311.WAV,سویرے یاد نہیں جب تجھ سے کہا تھا کہ عمل سے تیری شادی کی بات کرنے لگے ہیں۔,سوے رے یہ اتنی جتت سے کہتا کہ امر سے تھی ریشادی کی بات کرنے لگیوں,ur,0.6666666666666666
SPEAKER_000_POETRY_0195.wav,یار میرے لبوں پہ مہر تھی,میری لگوپی مورکی,ur,1.0
SPEAKER_000_POETRY_0335.wav,سودا تھا جلدی چلنے کا آنکھ بھی رکھنی تھی,سادہ تھا جلدی چلنی کا آقوی رکنی تھی,ur,0.5555555555555556
SPEAKER_000_PROSES_0272.wav,ایک اتوار ساڑھے آٹھ بجے ہم دونوں سائیکل پر منگو پیر کی پہاڑیوں کی طرف جنگلی بکرے کی تلاش میں روانہ ہوئے,ایک اطوار ساریات بجے ہم دونوں سائکل پر منگو پیر کی پہریوں کی طرف جنگلی بکرے کی طلاش میں روانا ہوئے,ur,0.3181818181818182
SPEAKER_006_INTERVIEWS_0132.WAV,ندا اور اب دیکھو نا جب اس کے بعد جب آئیں گے تو میں نے اس کی ایک ساڑھی بنائی ہے تم وہ بھی دیکھنا۔,نیدہ اب دیکھنے جب ایس کے بعد جب آئیں گے تو میں نے اس کی ساری بنایا تو وہ بھی دیکھنا,ur,0.44
SPEAKER_002_VLOG_0065.wav,یہ بھی لگا ہونا چاہیے وہ بھی لگا ہونا چاہیے,یہی پیلکانا چاہیے وہ بھی لکانا چاہیے,ur,0.6
SPEAKER_000_POETRY_0112.wav,سو ہیں آزاد فکرِ آشیاں سے,سوحی آزاد تکری آشنیا سے,ur,0.6666666666666666
SPEAKER_039_FILM_0381.WAV,بات عمل کی کر رہے ہیں امتحان میرا لے رہے ہیں,بات ملکی کر رہے ہیں امتحان میرا لے رہے ہیں,ur,0.18181818181818182
SPEAKER_000_POETRY_0303.wav,خواب میں بھی تجھے بھولوں,خاب مبھی تو جے بھولوں,ur,0.8
SPEAKER_019_NEWS_0169.WAV,بھارتی پائلٹس نے پاکستان ایئر فورس پویلین کا دورہ کیا۔,بھارتی پائیلٹس نے پاکسان ایر فورس پرلین کا دوراک کیا,ur,0.6
SPEAKER_041_FILM_0429.WAV,ہاں آپ کو پسند ہے تو کر لو بات۔ میں نے کوئی انکار کیا ہے امی جی؟,ہا ہواف کو پسندہ تو کرلو بات میں لیکن کار کیا مجھے,ur,0.7647058823529411
SPEAKER_000_POETRY_0110.wav,تو پوچھیں پتہ منزل کا میرِ کارواں سے,تو پوچھیں پتا مندل کا میرے کاروان سے,ur,0.5
SPEAKER_000_PROSES_0109.wav,خدا جانے ایسا بچہ دیکھتا ہے اور سنتا ہے تو کس وقت,خوضع جانی ایسا بچہ دیکھتا ہے اور سنتا ہے تو کس وقت,ur,0.16666666666666666
SPEAKER_012_ROADSIDE_INTERVIEW_0308.wav,فیکلٹی کے بارے میں آپ کہیں گے یونیورسٹی کی فیکلٹی کیسی ہے؟,افکلیٹی کے بارے میں آپ پیئیں گی نیسٹی کے فکلیٹی گیتی ہے,ur,0.6666666666666666
SPEAKER_000_PROSES_0239.wav,انگریزی صرف ان خاص مقامات پر بولتے تھے جہاں آدمی کچھ نہ بولے تب بھی بخوبی کام چل سکتا ہے۔,انگریزی صرف انخاس مقامات پر بولتے تھے جہاں آدمی کچھ نہ بولے تب بخوبی کام چلسک۔,ur,0.3
SPEAKER_000_POETRY_0438.wav,ریت بھی پچھلے مکانوں کی نہ واپس آئی تھی,رہت بھی پیچھلے مقانو کی نواپس سائی تھی,ur,0.6666666666666666
SPEAKER_002_POETRY_0088.wav,انہوں نے یکایک مجھے اپنے ہاتھوں میں ایک خاص طریقے سے جکڑ لیا,انہوں نے یقائق مجھے اپنے ہاتھوں میں خاص طریق جکلیا,ur,0.46153846153846156
SPEAKER_000_PROSES_0135.wav,آپ انگلیاں چٹخوا کر سر کی کھال میں تیل جھسوا کر,آپ اولیان چتخوا کر سر کی خال میں تیل جسوہ کر,ur,0.36363636363636365
