ground_truth,prediction
लिबर ऑफिस impress में presentation notes पर spoken tutorial में आपका स्वागत है,लिबर अफिस इंप्रस में प्रदेंटेशन नोड़़ पर वोखिल तिटरल में आपका स्वागत है.
इस tutorial का अनुसरण करने के लिए आपको किसी भी operating system पर कार्य करने का ज्ञान होना चाहिए,अपको किसी भी अपरेटिंग सिस्चम ख़गारे करने का जान जाहिं
color में gray scale चुनते हैं,उसे प्रेंट करेगा कलर में ग्रेज्केल चुनते हैं
यहाँ इन options के लिए shortcut कीज भी हैंcopy करने के लिए ctrl + c और paste करने के लिए ctrl + v,"यहाँ इन अप्शन्स के लिए, शोट कट कीज भी है, गोपी करने के लिए, कन्त्रोल ची, और पेस्त करने के लिए, कन्त्रोल वी, यह विशिच्ता बहुत उप्टीट चीजना और विशिष्ता बहुत अप्चाँ,"
thread व्यू से बाहर आने के लिए केवल thread आइकन पर फिर से क्लिक करें,त्रट्व्यु से बहार आने के लिए केवल त्रट्व्याँगन पर फिर्ष्टे ख्लिक करें
और move down बटन्स का इस्तेमाल करेंगे,"अदिए बालम से मिलाने के लिए, मुव अप और मुव डावन बटन्स का अईस्तिमाल करेंगे."
मेरे system में gedit text editor पहले से ही संस्थापित है,मेरे सिस्तम में जी अटिट टेक्स अटीटर पहले से ही सुँपित है अब जी अटिट
यह spoken tutorial project को सारांशित करता है,यह स्पो कं तोटरेल प्राजग को सराईजिद करता है
अब आप अपने पहले statement को type करने के लिए तैयार हैं,अब आप अपने पहले स्थेट्मन को ताएप करने किने तएयार है चड्ये तब पहले
तो पहले heading education details को चुनें,तो बहने हैदिंग एडुकेशन दितेल पर लग जाएग तरद़ाएग या अंडलाएन करेंगे
उदाहरणस्वरूप पहले text पर दायाँ click करें और फिर menu में text option पर click करें,उदान सरुब पहले टेश्ट पर दाये क्लिक करें और फिर मेंजू में टेश्ट अव्ष्टन पर क्लिक करें
file saving option के नीचे autosave files checkbox को टिक करें,औलनगाब्शते ब किनीजे Yeah Live अतो सेव पल्सrue अलुट
panel पर click करें,पनल पर खलेक करें
main menu से tools और manage snippets पर click करें,तूस और मैनेच इस्मी पेट्स पर क्लिक करीं इस्मी पेट्स उचीवाद
इस document में oranges शब्द को गलत लिखते हैं जैसे दिखाया गया है,अरेंजिस शब्द को गलत लिकति हैं जैसे दिखाया गया है में मैंनी।
notes text box के ऊपरीबाएँ कोने पर त्रिकोण प्रविष्ट करें,नोट्स तेक्स्ट बोक्स के उपरी बायं कोने पर त्रिकोर प्रविष्ट करें
आप बाएँ कॉलम के mozilla thunderbird address book के फील्ड्स को दायें कॉलम के जीमेल record data to import column से मिलाने के लिए move up,"अप बाय कोलम के मजला तदर बोड अद्रस बुक के फिल्ट्स को बाय कोलम के जी मेल, रकोर डेटा तु इमपोट कोलम के"
अधिक जानकारी के लिए contact @spokentutorial org पर संपर्क करें,"अपने, खुन्तक्ट अद श्पोकें रह्पन तिटूरल तो और जी पर सब पर करे."
आप क्रमानुसार bullets के लिए indent बढ़ाने और घटाने के लिए टैब और shift कीज का उपयोग कर सकते हैं,बूलेट्स के लिए अगर लगाने अगर ग़ाने के लिए तैब और शिफ्ट कीद का उप्योख का सकते हैं बूलेट्स अन दम
copies and folders डायलॉग बॉक्स दायें पैनल पर प्रदर्शित होता है,अदाय पैनर पर पदर्षेथ होता है
पहले हम सीखेंगे की gedit text editor को कैसे संस्थापित करना है,ब्ट्य говоря मेरी तरीकािग नाम एक लंसil meet atthext bunuon archaeological
यह इस लिए क्योंकि gedit text editor पहचानता है कि यह c program code है,योंकी जी अटे टेक्स अदीटर प्देटा था है कि ये खी प्रोग्राम गोड है आँ अगले तुतन तुर्वाँ
यहाँ दो तरीके है जिससे हम slide की प्रतिलिपि डुप्लिकेट बना सकते हैं,"यह दो तरीके है, जिसे हम निस लैद की पतिल्पी बना सोग न पर रहा है"
get mail पर क्लिक करें और get all new messages पर क्लिक करें,अचानचे गेद मेल पर क्लिक करें और गेद और नु मेशेजे पर क्लिक करें बाई बैनल से
pdf options dialog box में file और फिर export as pdf पर click करें pdf options dialog box में सभी options वैसे ही रहने दें और export button पर click करें,"पीड्टेफ अप्छन्स दिलोबवोफश में, फाहल, ने अग्छ पीड्टेप पर कलिक करें. पीड्टेफ अப्छन्ख दिलोब वोच्ट में, सबपी एक से ही रहने दे, और ख्डिक बतन पर कलिक करें."
क्या आपने ध्यान दिया कि file को सेव करने के बाद program में कई रंग हैं,भी नहां दिया की पाल को सेप करने के बाद पुग्राम में काई रंग है ये इसलिये
सेव dialog box खुलेगा हम इस फाइल को sample impress के रूप में सेव करेंगे और सेव button पर click करें,नंभाULL groom...
हमने पहले से resume शब्द टाइप किया है और इसे पेज के center में अलाइन एकरेखित किया है,अपने पहले से दिस्वूम शब्द ताएप किया है और इसे पेज के केंदर में अलाईन किया है
यदि आपके पास अच्छा bandwidth नहीं है तो आप इसे download करके देख सकते हैं,अदियाल के पास अच्छा बैन्वित नहीं है तो आप इसे डाओलोड़ कर के दिआनागा।
tool bar वो bar tools रखते हैं जो आपको jchempaint के साथ काम करने के लिए आवश्यक हैं,"तूल बार्स वो सारे तूल्स रक्ति हैं, जो आपको जे कम्पेंट कि साथ काम करने के लिए आविशक हैं."
* drawing को  mol extension के साथ सेव करना,द्रूंग को दोट माल इक्स्टैंचन के साथ सेव करना
यह spoken tutorial को सारांशित करता है,यह स्पोक न्टिडोल प्रजट को सार अंचिट करता है
* edit system variable dialog box खुलता है,अद्ट सिस्टम परड़़़ दालोग बोग्स खुलता है
display line numbers option को checkmark करें,अप्शन को चेक्माक करें
मैं window clear करुँगी,मैं बिन्डो प्लीर करूंगी
java को synaptic package manager प्रयोग करके ubuntu पर संस्थापित किया जा सकता है,जावा को सिनप्टिक पैकेज मैनेजर प्रेवो कर के उबन्टू पर सस्त्ताः
एक menu खुलता है; r1 चुनें,"इंच, ट्राद atleaks.् وجा्द अगउ. पर च्रदाएद अचच्रद् अचचच्च्च्च्च्चीṍटि temples. घंकाए कराँषाम। अप अदम परतिया।"
एक और else if नामक snippet देखते हैं,तो तो तो इस नामब यसनी पेट देकते हैं बाईहाज की अड
इस mission पर अधिक जानकारी के लिए उपलब्ध लिंक पर संपर्क करेंspoken hyphen tutorial dot org slash nmeict hyphen intro,अप्लग दिलिंग पर समपर करें श्वोकन रीखण तिट्रोर डोड औरग श्लच आन्टम्य इपिटी रीखण अप्लग
तो पहले text education details को चुनें फिर font name स्थान में down arrow पर click करें,"तो पहले टेक्स्ट अज्गेशन दीटेल्स को चुने, फिर फाँट में च्थान में डाँन अरबर क्लिक करें।"
document को gedit text editor window में पुनर्व्यवस्थित करते हैं जैसे कि पहले किया था,तग� की रक्टनवादाल कोगि आदि से �西 मी मोगन्दार॥
अब text को bold करने के लिए bold icon पर click करें,"अप टक्स्त को बूल करने के लिए, बूल्ड आईकंप्रण पूलेगा"
हम मैसेज threads का उपयोग एक सतत प्रवाह में एक पूरी वार्तालाप के रूप में संबंधित मैसेसेज को देखने के लिए करते हैं,अँ मैसेस ठ्ट्रट्स का उप्योग एक सतट्ट्प्रवाहमे एक पुरी वाताला पुरी रूप में समच्ट मैसेजेजेज को दिखने के लिए करतें।
ध्यान दें कि enable adaptive junk mail controls for this account बॉक्स डिफ़ॉल्ट रूप से चुनित है,"दियान दे, की इन्आबल अदब्टिव जंक मेल कन्त्रोल्स प्र दिस अकाण्ड, बोक्स दीखवार तुबषे चुनित है."
* panel का background रंग बदलना,पैनल का बेग्राँँ रंक बदलना
अब सेव की हुई file को downloads folder से desktop पर let जाएँ,आब सेप की हुई फाँल को डाउन्टोर्द्स फुल्डर से देक्स टोग पर लेजाए
अब हमारे द्वारा देखी गई file को फिर से ओपन करें,अब हमारे दोरा देखीगाई फायल को फिर से अपन करें
close पर click करें,खुज पर क्लिक करें
यहाँ आपके लिए assignment है,ents
ट्रांजिशनस्स प्रभाव हैं जो slides पर लागू किये जाते हैं जब हम प्रस्तुति में एक slides से दूसरी slides पर स्थानांतरण या transitions करते हैं,"तो चिन्दवार किया थो तो तो तो पहुट प्रभाव लगु किया जाते है, ज़द हम प्रस्तुती में एक निस तुशी निस निस निस आन्तर या त्रन्दिशन करते है।"
आप ubuntu software center का उपयोग करके कर सकते हैं,तो आपटविया संटर का उग्योप कर कर सकती हैं जी अटिट पिर्फ्रिशन के लिए और अग्यों कर कर सकती हैं
इसी के साथ हम इस tutorial की समाप्ति की ओर आ गये हैं slide shows slide shows slide transitions slide transitions automatic show automatic show,"इसी के साथ हम इस चीट्ट्योल की समबती की और आगागे है इस चीट्ट्योल में हम निम्ने के बारे में सीखा सलाइट शोज, सलाइट चन्दिशन्स, अटमाटिक शोग यहाँ"
मुख्य menu में format और character पर click करें,मुखह मैंव में फोरमेट और कलतर पर क्लिक करें
एक नियत कार्य में अनेक structures प्राप्त करने के लिए दिए गए smiles और inchi keys को सम्मिलित करें,इक नियत कार रहें आनेक श्वक्छार स्वापकरने के लिए दिये गाई स्माल्स और इंजी कीस को सम्मिलित करें
यह इसलिए क्योंकि हम overview slide पर थे जब हमने outline टैब को चुना,अफ आ� Das अब आद वॉँंम।
जैसे कि text विवरण देता है यह slide का name दिनांक और समय और यदि कोई छिपा हुआ पेज है उसे print करेगा,"ज़सेगी टेक्स्ट्वेरुन देता है, यह न्ट्टार नाम, दिनांग, वस समें, और दिए कोई चिपा हुँ पेज है,"
spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,پوکنٹ دولر پوجیک ٹیم، پوکنٹ دولر کا اپیو کر کے کارشالائیں بھی چلاتی ہیں
यह menu bar है,यहे मैनुबार है
