accent,ground_truth,prediction,wer
"India and South Asia (India, Pakistan, Sri Lanka)",Obey grew up as a Republican.,Ubek ruup asiat di babrikan,1.0
"India and South Asia (India, Pakistan, Sri Lanka)",He has registered for eleven international patents on various aspects of video networking.,He has registered for 11 international patents on various aspects of video networking.,0.07692307692307693
"India and South Asia (India, Pakistan, Sri Lanka)",B and M Bargains also has presence in the centre.,B and M Bargains also has presence in the center.,0.1
"India and South Asia (India, Pakistan, Sri Lanka)",Port of Long Beach is the largest container terminal in America.,,
"India and South Asia (India, Pakistan, Sri Lanka)",Planinc began to pursue a full-time career within the League of Communists of Croatia.,Planning began to pursue a full-time career within the League of Communists of Crotea.,0.14285714285714285
"India and South Asia (India, Pakistan, Sri Lanka)",Molybdenite-the principal ore from which molybdenum is now extracted-was previously known as molybdena.,Molybdenum is now extracted from the principle of the word Molybdenum.,1.0
"India and South Asia (India, Pakistan, Sri Lanka)",The game was published by Eidos Interactive.,The game was published by Aidos Interactive.,0.14285714285714285
"India and South Asia (India, Pakistan, Sri Lanka)",Tottenham Hotspur and Inter Milan were also interested in signing the Celtic player.,"Tottenham, Otspur and Intermillion were also interested in sinking and acidic pair.",0.6153846153846154
"India and South Asia (India, Pakistan, Sri Lanka)",It is a concise listing of thirteen fundamental doctrines of Mormonism.,It is a concise listing of 13 fundamental doctrines of Mormonism.,0.09090909090909091
"India and South Asia (India, Pakistan, Sri Lanka)","After a hardship-filled infancy, upon completing his studies, he became a Christian preacher.",After a hardship filled infancy upon completing his studies he became a Christian preacher.,0.3076923076923077
"India and South Asia (India, Pakistan, Sri Lanka)",Assens is the municipal seat of Assens Municipality in Region of Southern Denmark.,Essence is the municipal seat of Essence municipality in region of southern Denmark.,0.15384615384615385
"India and South Asia (India, Pakistan, Sri Lanka)","Random-orbital sanders use sandpaper disks, and many include integrated dust collectors.",Random orbital sanders use sandpaper discs and many include integrated dust collectors.,0.2727272727272727
"India and South Asia (India, Pakistan, Sri Lanka)",She now resides in London with her son and daughter.,She now resides in London with her son and daughter.,0.0
"India and South Asia (India, Pakistan, Sri Lanka)","No abbreviatins in contributed sentences, please.",No abbreviations in Contributor Sentences please.,0.5
"India and South Asia (India, Pakistan, Sri Lanka)",The signs have since been replaced with the correct shields.,The science has since been replaced with the correct shields.,0.2
"India and South Asia (India, Pakistan, Sri Lanka)","Balete is from Kalibo, the provincial capital.",Balete is from Calibo the provincial capital,0.2857142857142857
"India and South Asia (India, Pakistan, Sri Lanka)",He played with the Borodin Quartet.,He played with the Poroten Quartet.,0.16666666666666666
"India and South Asia (India, Pakistan, Sri Lanka)",Campbell died in Philadelphia.,,
"India and South Asia (India, Pakistan, Sri Lanka)","The wealth of some may ""depend"" on the poverty of others.",The wealth of some may depend on the poverty of others.,0.09090909090909091
"India and South Asia (India, Pakistan, Sri Lanka)",Prentice then took over the writing along with others.,Print is then took over the writing along with others.,0.2222222222222222
"India and South Asia (India, Pakistan, Sri Lanka)",A fifth volume featuring the best of the daily strip is planned.,A fifth volume featuring the best of the Daily Ship is planned.,0.08333333333333333
"India and South Asia (India, Pakistan, Sri Lanka)",The outlines of the architecture then morph to a pattern of three-dimensional blocks.,The outlines of the architecture then morph to a pattern of three dimensional blocks,0.23076923076923078
"India and South Asia (India, Pakistan, Sri Lanka)","Klein's father, an Orthodox follower of the Jewish faith, influenced Klein's early development.",Clans father and all the dogs' followers of the Jewish faith influenced Clans early development.,0.6923076923076923
