audio,ground_truth,prediction,detected_language,wer
SPEAKER_005_YOUTUBEREVIEWS_0885.WAV,خالی رومینس بھی نہیں ہے اتنا لینیئر بھی نہیں ہے پراجیکٹ زیادہ اس لیے نہیں بول رہی کہ ابھی صرف میں نے پڑھا ہے ابھی اس کو پوری طرح,حالی رومانس بھی نہیں ہے اتنا ہی لینئر بھی نہیں ہے جادہ اس لیے نہیں بول لیکن ابھی سب میں نے پڑھا ہے بس کو پوری طرح,ur,0.3793103448275862
SPEAKER_001_YOUTUBEREVIEWS_0590.WAV,سب ہو گئے لیکن ایسا نہیں ہو سکتا کہ آپ آئیں اور میں آپ سے تیری خواب میں توبہ توبہ توبہ توبہ یہ میں کوشش کرتا,سب ہوگے لیکن ایسا نہیں ہو سکتا کہ آپ آئے اور میں آپ سے دے دی خواب میں اب تو بہت بہت بہت بہت بہت یہ میں کوشش کر رہا ہوں,ur,0.5769230769230769
SPEAKER_004_YOUTUBEREVIEWS_0709.WAV,کہ اوئے، او تکا نہیں لگ گیا۔ تکا نہیں، تکا، تکا نہیں لگ گیا کہ نہیں۔,अग तुका नी लगगे,hi,1.0
SPEAKER_037_FILM_0319.WAV,فوٹو دیکھ کر مر گئے ہو؟ فوٹو میں ہوتا کیا ہے؟ خیالات ہوتے ہیں؟ جذبات ہوتے ہیں ؟ دل موجود ہوتا ہے؟ پیار محسوس ہوتا ہے؟,,error,
SPEAKER_001_DRAMA_0351.wav,اس کی وہ جو دوست ہے بتول، اس سے پوچھیں شاید اسے کچھ پتا ہو۔,उसकी वो जो दोस्त है बतूल उसे पुचें शाएद उसे कुछ पता।,hi,1.0
SPEAKER_006_POETRY_0380.wav,جرم آدم نے کیا اور نسل آدم کو سزا,جرم آدم نے کیا اور نسل آدم کو سزا,ur,0.0
SPEAKER_000_PROSES_0082.wav,اتنی جلد کہ ایک دن انگلیوں پر حساب لگایا تو اس بیچاری کی ازدواجی زندگی عدت کی میاد سے بھی مختصر نکلی۔,,error,
SPEAKER_000_PROSES_0355.wav,کہتے تھے مجھ فقیر کو ان ہنگاموں سے کیا مطلب,کہتے تھے مجھ فقیر کو انہنگاموں سے کیا مقلق؟,ur,0.3
SPEAKER_003_FILM_0068.WAV,تم گھر جاؤ تو اماں کو کہنا کہ ایجنسی فون کر دیں۔,तुम खर जाएउ तो आम्मा को केना के आजंसी फोंग करतें.,hi,1.0
SPEAKER_018_COMEDYSHOW_0506.WAV,وہ ہر سال بعد وہ ہمارے ٹریلر میں بھی ہے کہ وہ کہتا ہے اگلے کی پوری کرکٹ ٹیم ہوگئی ہے ہمارا اوپنر ہی پیدا نہیں ہو رہا۔,और और और और और प्रेलर में भी हैं के वो खापता अगली की पूरी क्रिके तीम होगी अमरा अपनरी प्यदा नी हो रहां,hi,1.0
SPEAKER_000_PROSES_0277.wav,سائیکل چلانے کے اس طریقے کا ایک نہایت باریک قانونی نکتہ انہوں نے یہ بتایا ہے,سائکل چلانے کی اس طریقے کا اتنی حائت باری قانونی نکتہ انہوں نے یہ بتایا,ur,0.375
SPEAKER_002_DRAMA_0296.wav,تمہارے مشورے کا شکریہ۔ اب میرے جواب کا انتظار کرو۔,"अ!.. तम्हरे, जबाब किड़िटह तम्हरे.. अष् diciendo.. तबाब हरे �很多 तब तहादूड regardless of your image ौ! आख! लगम हम बई कुछती।। वो वाए तबगाा accompany Energy नासास, वृदी",hi,2.9
SPEAKER_000_PROSES_0260.wav,اتوار کو علی الصبح سائیکل پر نکل جاتے,اطوار کو اللہ سوب سائکل پر نکل جاتے,ur,0.5
SPEAKER_035_FILM_0311.WAV,سویرے یاد نہیں جب تجھ سے کہا تھا کہ عمل سے تیری شادی کی بات کرنے لگے ہیں۔,"सवेरे, याद नहीं ज़ुद से काथ तब आमल से तरी शादिकी बाथ करने लगी।",hi,1.0
SPEAKER_000_POETRY_0195.wav,یار میرے لبوں پہ مہر تھی,,error,
SPEAKER_000_POETRY_0335.wav,سودا تھا جلدی چلنے کا آنکھ بھی رکھنی تھی,सवादा ता जल्दी चलने का आख भी रखनी थी,hi,1.0
