experiment,wer,cs_level,category,ground_truth,prediction
small_auto,0.0,sentence,everyday conversation,시험이 내일인데 아직 한 페이지도 안 봤어. I'm basically a professional procrastinator at this point.,시험이 내일인데 아직 한 페이지도 안 봤어. I'm basically a professional procrastinator at this point.
small_auto,0.0,sentence,software development,이번 주 안에 끝낼 수 있어? I don't think two days are enough for full integration.,이번 주 안에 끝낼 수 있어? I don't think two days are enough for full integration.
base_auto,0.0,phrase,academic,real-time data processing을 개선하기 위해 distributed computing framework를 도입하였다.,real-time data processing을 개선하기 위해 distributed computing framework를 도입하였다.
small_forced_ko,0.0,sentence,software development,이번 주 안에 끝낼 수 있어? I don't think two days are enough for full integration.,이번 주 안에 끝낼 수 있어? I don't think two days are enough for full integration.
small_forced_ko,0.0,sentence,software development,발표 준비 다 했어? I still need to polish the slides and practice the Q&A section.,발표 준비 다 했어? I still need to polish the slides and practice the Q&A section.
small_forced_ko,0.0,sentence,everyday conversation,시험이 내일인데 아직 한 페이지도 안 봤어. I'm basically a professional procrastinator at this point.,시험이 내일인데 아직 한 페이지도 안 봤어. I'm basically a professional procrastinator at this point.
base_forced_ko,0.0,phrase,academic,real-time data processing을 개선하기 위해 distributed computing framework를 도입하였다.,real-time data processing을 개선하기 위해 distributed computing framework를 도입하였다.
small_auto,0.0588235294117647,word,travel and culture,김치 is a traditional fermented vegetable dish that serves as a staple side dish in Korean cuisine.,Kimchi is a traditional fermented vegetable dish that serves as a staple side dish in Korean cuisine.
base_forced_ko,0.0625,word,business,The new CEO wants to implement a 수직적 hierarchy structure similar to traditional 대기업 management styles.,The new CEO wants to implement a 수직적 hierarchy structure similar to traditional take-off management styles.
small_auto,0.0625,word,entertainment,The presentation was going smoothly until the CEO started asking those 뜬금없는 questions out of nowhere.,The presentation was going smoothly until the CEO started asking those think-mongering questions out of nowhere.
base_auto,0.0625,word,entertainment,The presentation was going smoothly until the CEO started asking those 뜬금없는 questions out of nowhere.,The presentation was going smoothly until the CEO started asking those think-minded questions out of nowhere.
