experiment,sample_id,wer,ground_truth,prediction,english_reference_tokens,korean_prediction_tokens
base_auto,37089181-71b5-4379-9131-ccb5fe7abae4,1.1,model training에는 stochastic gradient descent optimizer와 momentum scheduler를 병합하여 적용하였다.,"모델 트레이닝에는 스테오케스틱, 그리니언, 디스엔, 오브 디메시어와 모델, 스키즈, 룰을 병화파이어 적용하였다.","model, stochastic, gradient, descent, momentum","모델, 트레이닝에는, 스테오케스틱, 그리니언, 디스엔, 오브, 디메시어와, 모델, 스키즈, 룰을, 병화파이어, 적용하였다"
base_auto,1f9cac58-0ed3-4c3b-bccc-248cd999584f,1.1,think outside the box 하라는 건 좋은데 현실성도 꼭 고려해야지.,"Thank you outside the box, I love living in the living room. 현실성도 꼭 고여해야지.","think, outside, the, box","현실성도, 꼭, 고여해야지"
base_auto,f56ed7f1-b4fc-4d9d-9bcb-108c7d8a2d27,1.0,"NLP 분야에서는 transformer 기반의 pretrained model을 fine-tuning하여, domain adaptation 성능을 benchmark dataset 상에서 비교 평가했다.",seisối 자 KP harus,"NLP, transformer, pretrained, fine-, domain, adaptation, benchmark, dataset",자
base_auto,6f5ef24f-ae9f-4d18-834b-17bc3530063b,1.0,"The project looks good on paper, but we need someone with real 현장 경험 to make it work.",나를,"The, project, looks, good, on, paper, but, we, need, someone, with, real, to, make, it, work",나를
base_auto,f1aa6364-4bd4-4a2c-93d1-beddbe768350,1.0,"He said the fix is on the way, 그래서 일단은 current version 유지하자.",다니다 저는 현재 fix이,"He, said, the, fix, is, on, the, way, current, version","다니다, 저는, 현재, 이"
base_auto,06946651-7048-4d32-8528-6c41ddde54f7,1.0,The research methodology combines contemporary biotechnology approaches with 김치 발효 과정의 미생물학적 원리 to develop enhanced probiotic cultivation techniques.,틀위서치 마스 Кол��än첨둔 나사,"The, research, methodology, combines, contemporary, biotechnology, approaches, with, to, develop, enhanced, probiotic, cultivation, techniques","틀위서치, 마스, 첨둔, 나사"
base_auto,eaa9b3fb-5dc7-4130-b441-96fd85fb870c,1.0,"When someone says 고생했어요, it means ""you've worked hard"" or ""thank you for your effort,"" and it conveys appreciation and acknowledgment of someone's hard work.",한국에 drills sir게cer,"When, someone, says, it, means, you've, worked, hard, or, thank, you, for, your, effort, and, it, conveys, appreciation, and, acknowledgment, of, someone's, hard, work","한국에, 게"
base_auto,31067df4-5710-44c3-9f13-4fcac4989dd9,1.0,"Does 눈치 mean ""social awareness"" or is it closer to ""reading the room""?","spinning jet치, 붕 organisation 타이� ž 피yellingięcy 단","Does, mean, social, awareness, or, is, it, closer, to, reading, the, room","치, 붕, 타이, 피, 단"
base_auto,19376deb-9298-452c-9386-e392671cde39,1.0,제안된 deep learning model은 기존 baseline보다 accuracy와 precision 측면에서 significant improvement를 보였다.,"자, 안된 디블러닝 모델은 기존 베이스 라인보다 아크러쉬와 프리시즈한 측면에서 시그는 피컨트 인플로몬 들을 보였다.","deep, learning, precision, significant","자, 안된, 디블러닝, 모델은, 기존, 베이스, 라인보다, 아크러쉬와, 프리시즈한, 측면에서, 시그는, 피컨트, 인플로몬, 들을, 보였다"
base_auto,7205c562-e25d-4cbb-ab96-e3d37e0884b0,1.0,"The expression ""천천히 말씀해 주실 수 있나요?"" is a polite way to ask someone to “could you please speak slowly,” and it's useful for beginners.",force에 패� destroy의,"The, expression, is, a, polite, way, to, ask, someone, to, could, you, please, speak, slowly, and, it's, useful, for, beginners","에, 패, 의"
base_auto,e3ea3c57-2745-4399-bbdb-9219e924cefd,1.0,So what's the difference between 사랑 and 연애?,좋은,"So, what's, the, difference, between, and",좋은
base_auto,cce1a2d2-5546-4e22-9e78-aef33606f4c4,1.0,"Wait, so 오빠 doesn't just mean “older brother”?",..몇 노수的..,"Wait, so, doesn't, just, mean, older, brother","몇, 노수"
base_auto,9269366a-d0f6-4b35-bc98-e1ea8e6ffd1d,1.0,That whole scene felt like a perfectly executed 명장면.,나라을 지,"That, whole, scene, felt, like, a, perfectly, executed","나라을, 지"
base_auto,db807ff4-810c-4054-9692-219c7790f005,1.0,"The Korean saying 백지장도 맞들면 낫다 translates to ""Even a blank sheet of paper becomes lighter when two people hold it together"", emphasizing the power of cooperation.",Vampire Actress schön David Dariel 집 Escape endroit 요진 고등월 회사 얘들아iggers,"The, Korean, saying, translates, to, Even, a, blank, sheet, of, paper, becomes, lighter, when, two, people, hold, it, together, emphasizing, the, power, of, cooperation","집, 요진, 고등월, 회사, 얘들아"
base_auto,e4e133be-936f-4bca-9a96-9c8f794b6c58,0.9230769230769232,"She's like ""진짜 바빠 죽겠어"" but then spends three hours watching TikTok videos.",진짜 바빠 죽겠어. 버튼 스파인드 3hrs 와칭택톡 비디오스.,"She's, like, but, then, spends, three, hours, watching, TikTok, videos","진짜, 바빠, 죽겠어, 버튼, 스파인드, 와칭택톡, 비디오스"
base_auto,0edf1dfc-e071-4ea8-b34f-1115c36cca47,0.875,Suction 좀 더 강하게 해주세요. Bleeding이 계속되고 있어요.,Fox 점점 더 scariestses уверOh gucken 보다,Suction,"점점, 더, 보다"
base_auto,ef33b5f2-af00-4836-8214-ef304b257b38,0.875,오늘 presentation 준비하는데 PowerPoint slide가 너무 messy해서 frustrating하다,오늘 프로젠 elections 준비해 Sakura Piece 10inte 스포なんです.,"presentation, PowerPoint","오늘, 프로젠, 준비해, 스포"
base_auto,eb8c39fd-2168-4f72-8ab2-531d358a375e,0.8571428571428571,이번 project는 deadline이 tight해서 team work가 중요해.,이번 프로젝트는 레드라인이 타이틀한 팀워크가 중요해,team,"이번, 프로젝트는, 레드라인이, 타이틀한, 팀워크가, 중요해"
base_auto,25212161-6246-4941-87d0-1fd4f73742f0,0.8461538461538461,환자의 vital signs 확인하고 anesthesia 효과 모니터링하면서 incision 부위의 bleeding control에 신경 쓰겠습니다.,"환자의 바이러스 사인스 확인하고 앤너스세스 디어, 힙합 모니터링 하면서 인시전 부위에 블랙핑 컨트롤의 신경 쓰겠습니다.","vital, signs, anesthesia, incision, bleeding","환자의, 바이러스, 사인스, 확인하고, 앤너스세스, 디어, 힙합, 모니터링, 하면서, 인시전, 부위에, 블랙핑, 컨트롤의, 신경, 쓰겠습니다"
base_auto,f04583b1-6de5-41f9-b683-e7cef80ab2c5,0.8,영국 사람들은 왜 afternoon tea time에 scone을 꼭 먹는 거야?,한국 사람들은 왜 엥터니티 타임에 스코어 앨범 먹는거야?,"afternoon, tea","한국, 사람들은, 왜, 엥터니티, 타임에, 스코어, 앨범, 먹는거야"
base_auto,23007e58-9c57-4717-b133-cff78e53386c,0.8,She built the document based on 보여주기용 보고에 익숙한 관성.,"시 빌드다키멘트, 베이스던 보여주기용 보호의 익숙한 환성.","She, built, the, document, based, on","시, 빌드다키멘트, 베이스던, 보여주기용, 보호의, 익숙한, 환성"
base_auto,3cf5180f-b9d8-43ba-b7de-8682044598f5,0.8,다음 주 deployment 전에 database migration test를 꼭 완료해야 돼.,다음 주 Dep reconstruction 전에istle narrow rein� 테스트를 꼭 한번 확인하겠습니다.,"deployment, database, migration","다음, 주, 전에, 테스트를, 꼭, 한번, 확인하겠습니다"
base_auto,36b11c74-e5fc-4b92-91d1-99e5aaa04ec3,0.8,잠깐 mute 하고 전화 받을게,잠깐 뮤트 하고서 하나 버릴게,mute,"잠깐, 뮤트, 하고서, 하나, 버릴게"
base_auto,0975b224-0a24-49f8-be6f-8cb899a4e160,0.75,"환자 기도부터 확보합시다. Intubation 진행해주시고, central line 확보해주세요.",환자 기도부터 확보합시다. Intubation 진행해 주시고 Central Line 확보해 주세요.,"Intubation, central, line","환자, 기도부터, 확보합시다, 진행해, 주시고, 확보해, 주세요"
